npsn,nama_sekolah,alamat,jumlah_siswa,jumlah_guru,kepala_sekolah,telepon,kondisi_lingkungan,akreditasi
2.0102377E7,SDN Menteng Atas 12 Pg.,"Jln. Minangkabau Dalam, Menteng Atas, Setia Budi",312.0,10.0,,021-83704089,Padat/Kumuh,B
2.0106058E7,SDN Menteng Atas 13 Pt.,"Jl. Minangkabau Dalam, Menteng Atas, Setia Budi",93.0,9.0,"Hj.Popong Herawati,S.Ag.M.M.Pd",021-83702752,Padat/Kumuh,B
2.0102376E7,SDN Menteng Atas 14 Pg.,"Jl. Minangkabau Dalam, Menteng Atas, Setia Budi",292.0,14.0,"PARTIYAH, S.Pd.,M.Pd",8293122.0,Baik,A
2.0102375E7,SDN Menteng Atas 17 Pg.,"Jl. Minangkabau Dalam, Menteng Atas, Setia Budi",218.0,11.0,"Burhanuddin, S. Pd",8309316.0,Baik,B
2.0102374E7,SDN Menteng Atas 18 Pt.,"Jl. Minangkabau Dalam, Menteng Atas, Setia Budi",120.0,8.0,"Rachman D, S. Pd",2.183786971E9,Padat/Kumuh,B
2.0106059E7,SDN Menteng Atas 19 Pg.,"Jl. Dr. Saharjo No. 121, Menteng Atas, Setia Budi",260.0,10.0,,8.3701039E7,Baik,B
2.010606E7,SDN Menteng Atas 21 Pg.,"Jl. Menteng Pulo Ujung, Menteng Atas, Setia Budi",241.0,11.0,,2.183703382E9,Padat/Kumuh,A
2.0102372E7,SDN Menteng Dalam 01 Pg.,"Jl.Menteng Pulo II / Casablanca, Menteng Dalam, T e b e t",283.0,15.0,"Karyatmo,S.Pd",8351925.0,Baik,A
2.0102385E7,SDN Menteng Dalam 02 Pg.,"Jl. Menteng Pulo II, Casablanca, Menteng Dalam, T e b e t",307.0,16.0,Dra. Mariani Siregar. MM,021-83707302,Baik,A
2.0106063E7,SDN Menteng Dalam 05 Pg.,"Jl. Prof. Soepomo SH, Menteng Dalam, T e b e t",300.0,14.0,"Yasin, S.Pd",2.183790404E9,Baik,A
2.0102387E7,SDN Menteng Dalam 07 Pg.,"Jl. Flamboyan I, Menteng Dalam, T e b e t",380.0,17.0,Drs. B A I H A K I,8354245.0,Baik,A
2.01024E7,SDN Menteng Dalam 08 Pt.,"Jl. Flamboyan 1, Menteng Dalam, T e b e t",368.0,16.0,Enung Jaenuri,8.3706065E7,Banjir,B
2.0106066E7,SDN Menteng Dalam 11 Pg.,"Jl. Prof. Soepomo SH, Menteng Dalam, T e b e t",270.0,12.0,"Eti Yulianingsih, S.Pd",(021)8297440,Baik,B
2.0104643E7,SDN Merdeka Timur 01 Pg,"Jl. Medan Merdeka Timur No. 14, Gambir, Gambir",203.0,10.0,,2.13847124E8,Baik,A
2.0105403E7,SDN Meruya Selatan 01 Pg.,"Jl. H. Juhri, Meruya Selatan, Kembangan",437.0,15.0,"PURWARINI MADYANINGSIH, S.Pd,",5868269.0,Baik,A
2.0109069E7,SDN Meruya Selatan 02 Pt.,"Jl. H. Djuhri Rt. 003/ 02, Meruya Selatan, Kembangan",409.0,15.0,"Purwarini Madyaningsih, S.Pd,M",5.8900188E7,Baik,A
2.0105405E7,SDN Meruya Selatan 03 Pg.,"Jl. H. Saaba, Meruya Selatan, Kembangan",315.0,14.0,"PULUNG,S.Pd M.M",021-5846156,Baik,B
2.0105406E7,SDN Meruya Selatan 04 Pg.,"Jl. H. Saaba, Meruya Selatan, Kembangan",435.0,17.0,"Suratmiyati, M.Pd",(021) 58900755,Baik,B
2.0101377E7,SDN Meruya Selatan 05 Pt.,"Jl. H. Saaba, Meruya Selatan, Kembangan",317.0,15.0,"Suratmiyati, M.Pd",5.8900756E7,Baik,B
2.0105408E7,SDN Meruya Selatan 06 Pg.,"Jl. Lap. Jabeg Mega Kebon Jeruk No. 112, Meruya Selatan, Kembangan",388.0,18.0,"MUHTAR, S.Pd",8.1286558731E10,Baik,A
2.0101376E7,SDN Meruya Selatan 08 Pt.,"Jl. H. Saaba Rt. 002/ 02, Meruya Selatan, Kembangan",265.0,11.0,"Pulung, S.Pd., MM",021-58907538,Baik,A
2.0105411E7,SDN Meruya Utara 02 Pg.,"Jl. Raya Meruya Selatan, Meruya Utara, Kembangan",581.0,27.0,"HERIWATI HUTABARAT, S.Pd. M.M",021-5853148,Baik,A
